,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
72,0.849085,0.862604,1.005122,1.640097,1.09086,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084488,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,1.136018,0.688085,0.539571,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,0.743311,0.928999,2.044645,1.690354,1.196924,0.853137,0.29535,0.280934,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.849129,0.862692,1.005122,1.640053,1.090816,0.526333,0.675738,0.717632,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084444,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,1.135974,0.688085,0.539571,0.420197,0.798318,0.405778,0.446587,1.15187,0.980793,0.8742,0.683443,0.242248,0.292792,0.215815,0.310019,0.500781,0.509617,0.812306,1.462363,0.672979,1.189281,0.66453,0.436211,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049673,1.056865,1.025939,1.255999,2.705385,2.308817,1.630918,1.230331,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.849129,0.862604,1.005122,1.640097,1.09086,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,1.569659,0.604772,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,1.046837,0.756621,0.975347,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084488,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,0.769077,0.635356,1.518623,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.849129,0.862604,1.005122,1.640097,1.09086,0.717632,0.508369,1.092018,0.675738,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084488,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,0.769077,0.635356,1.518623,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.500781,0.509617,0.812306,1.462407,0.672979,1.189325,0.66453,0.436211,0.346528,0.314829,0.936385,0.431345,0.310184,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.849129,0.862604,1.005122,1.640097,1.09086,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084488,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,1.136018,0.688085,0.539571,0.420197,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,0.789121,0.63903,0.585762,0.981101,0.874464,0.683663,0.242292,0.29288,0.144482,0.196898,0.358998,0.35993,0.590249,0.994088,0.461154,0.815507,0.673199,1.189677,0.66475,0.436343,0.346616,0.314917,0.936693,0.431477,0.310272,0.284764,0.458251,0.583065,0.758443,0.769738,0.743531,0.929307,1.026247,1.256395,2.706221,2.309521,1.631446,1.230727,0.409354,0.383825,0.115373,0.228562,0.206274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.849129,0.862824,1.005122,1.640097,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084444,0.514733,0.557144,0.586523,0.730002,0.786394,1.128689,0.775661,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,1.587613,0.789121,0.63903,1.321746,1.180621,0.924797,0.313158,0.29288,0.215859,0.310107,0.500913,0.509749,0.81257,1.462847,0.673199,1.939585,1.189677,0.66475,0.871675,0.568298,0.346528,0.314829,0.640468,0.280536,0.20571,0.179991,0.263731,0.342566,0.462834,0.462561,1.049761,1.056953,1.025983,1.256087,2.705561,2.308949,1.690838,1.197276,1.230727,0.409354,0.383825,0.092221,0.181761,0.166343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.849129,0.862604,1.005122,1.640097,1.090816,0.526333,0.675738,0.717632,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.475525,0.641798,0.867512,0.9934,1.046837,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055335,1.486461,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.085436,1.452308,0.67413,0.730002,0.786394,1.128689,0.775661,0.519627,0.587796,0.474779,1.135974,0.688085,0.539571,0.420197,0.798318,0.405778,0.446587,1.15187,0.980793,0.8742,0.683443,0.242248,0.292792,0.215815,0.310019,0.277475,0.384058,0.647845,0.667075,1.07729,1.938969,0.92452,1.603976,1.189677,0.66475,0.436343,0.871675,0.56843,0.460104,0.421791,0.936693,0.431477,0.310272,0.284764,0.458251,0.583065,0.758443,0.769738,1.050025,1.057217,1.026247,1.256395,2.706221,0.921405,0.831199,0.792469,2.309521,1.631446,1.197276,0.645779,0.228598,0.233927,0.090359,0.177399,0.15596,0.228562,0.0,0.0,0.0
79,0.849129,0.862692,1.005122,1.640053,1.090816,0.717632,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084444,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,1.587613,1.321306,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.07729,0.590249,0.994088,1.939585,1.462847,0.673199,1.604504,0.871675,0.56843,0.346616,0.314917,0.936693,0.431477,0.310272,0.284764,0.458251,0.583065,0.640994,0.827846,1.050025,1.057217,1.026247,1.256395,2.706221,2.309521,1.631446,1.197276,0.853401,0.409354,0.383825,0.115373,0.181761,0.166343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.849129,0.862604,1.005122,1.640097,1.09086,0.526333,0.675738,0.717632,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.967522,0.498821,0.750289,0.524087,1.08548,1.452352,0.67413,0.730002,0.786394,1.128733,0.775661,0.519627,0.769077,0.635356,1.518623,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.690838,1.197276,1.230727,0.409354,0.383825,0.092221,0.181761,0.166343,0.301604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.849085,0.862604,1.005122,1.640097,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,0.486073,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.085436,1.452308,0.67413,0.730002,0.786394,1.128689,0.775661,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,1.587613,1.321306,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.07729,1.938969,0.92452,1.603976,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049673,1.056865,1.025939,1.255999,2.705341,2.308773,1.630918,1.230331,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.849085,0.862604,1.005122,1.640097,1.09086,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084488,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,1.136018,0.688085,1.518623,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.815507,0.464454,0.312357,0.871675,0.56843,0.460104,0.421791,0.936693,0.431477,0.310272,0.284764,0.458251,0.583065,0.758443,0.769738,0.743531,0.929307,2.045261,1.690838,1.197276,0.853401,0.295438,0.281022,0.092221,0.181761,0.166343,0.301604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
